ABS Energy,Category
10.9,Original_data
48.4,Original_data
64.2,Original_data
94.2,Original_data
137.1,Original_data
223.9,Original_data
227.68,Original_data
973.68,Original_data
985.28,Original_data
985.28,Original_data
986.34,Original_data
986.34,Original_data
987.53,Original_data
994.04,Original_data
1108.04,Original_data
1166.04,Original_data
1174.98,Original_data
1249.78,Original_data
3169.78,Original_data
4058.78,Original_data
4484.78,Original_data
4484.78,Original_data
4736.78,Original_data
4846.78,Original_data
4864.18,Original_data
4864.18,Original_data
4876.48,Original_data
4964.08,Original_data
6544.08,Original_data
6560.28,Original_data
6590.78,Original_data
6593.92,Original_data
6780.92,Original_data
6973.92,Original_data
7001.92,Original_data
7004.79,Original_data
7484.79,Original_data
7499.19,Original_data
7524.39,Original_data
7556.99,Original_data
7668.99,Original_data
7670.18,Original_data
7686.58,Original_data
7815.58,Original_data
7832.78,Original_data
8061.78,Original_data
8154.88,Original_data
8288.88,Original_data
8391.88,Original_data
8420.08,Original_data
8893.08,Original_data
8986.68,Original_data
8986.68,Original_data
8997.98,Original_data
10037.98,Original_data
10055.48,Original_data
10065.11,Original_data
10295.11,Original_data
10557.11,Original_data
13727.11,Original_data
13777.01,Original_data
16037.01,Original_data
16039.77,Original_data
16039.77,Original_data
16067.57,Original_data
16076.56,Original_data
16076.56,Original_data
16129.06,Original_data
16185.56,Original_data
16260.56,Original_data
16260.56,Original_data
16519.56,Original_data
16547.96,Original_data
16567.76,Original_data
16567.76,Original_data
16567.76,Original_data
16578.56,Original_data
16582.46,Original_data
16583.52,Original_data
16643.92,Original_data
16875.92,Original_data
16891.72,Original_data
16971.22,Original_data
16979.17,Original_data
16979.17,Original_data
17044.77,Original_data
17044.77,Original_data
17065.47,Original_data
18235.47,Original_data
18241.86,Original_data
18249.01,Original_data
18323.61,Original_data
18425.61,Original_data
18447.51,Original_data
18447.51,Original_data
18447.51,Original_data
18656.51,Original_data
18861.51,Original_data
18896.11,Original_data
18901.22,Original_data
18901.22,Original_data
18952.72,Original_data
19025.72,Original_data
19034.98,Original_data
19302.98,Original_data
19302.98,Original_data
19302.98,Original_data
19302.98,Original_data
19339.58,Original_data
20272.58,Original_data
20327.28,Original_data
20327.28,Original_data
20327.28,Original_data
20382.78,Original_data
20743.78,Original_data
20743.78,Original_data
21100.78,Original_data
21224.78,Original_data
21237.48,Original_data
21269.38,Original_data
21269.38,Original_data
21396.38,Original_data
21400.61,Original_data
21615.61,Original_data
21636.51,Original_data
21699.61,Original_data
21897.61,Original_data
21990.11,Original_data
22002.31,Original_data
22009.15,Original_data
22053.05,Original_data
22577.05,Original_data
22579.34,Original_data
22669.24,Original_data
22689.54,Original_data
22820.54,Original_data
22839.44,Original_data
22863.34,Original_data
22866.46,Original_data
22967.46,Original_data
22972.74,Original_data
23052.54,Original_data
23072.14,Original_data
23123.34,Original_data
23127.2,Original_data
23150.9,Original_data
23152.68,Original_data
25872.68,Original_data
25900.98,Original_data
25921.48,Original_data
25959.98,Original_data
25966.35,Original_data
25966.35,Original_data
34136.35,Original_data
34200.15,Original_data
34309.15,Original_data
34338.15,Original_data
34362.85,Original_data
34515.85,Original_data
34551.45,Original_data
43181.45,Original_data
45081.45,Original_data
45355.45,Original_data
45355.45,Original_data
45355.45,Original_data
45363.02,Original_data
45394.92,Original_data
45756.92,Original_data
45756.92,Original_data
45907.92,Original_data
45907.92,Original_data
45907.92,Original_data
