Stress_Data,AE_Reduced_Data,,,,,,,,AE_Reduced_Data,Stress_Data,,,
0.367553519,3.7645,-1.000886341,1.32561505,-0.755035439,,,,,,,,3.7645,0.367553519
0.699930546,84.5715,-0.356774169,4.43759733,-0.080398049,,,,,,,,84.5715,0.699930546
0.942389371,376.0245,-0.059336745,5.929654301,-0.01000678,,,,,,,,376.0245,0.942389371
1.182114524,430.5165,0.167304804,6.064985651,0.027585359,,,,,,,,430.5165,1.182114524
1.466524622,552.8295,0.382895399,6.315049636,0.060632207,,,,,,,,552.8295,1.466524622
1.632152969,817.9025,0.489899983,6.706743136,0.073045884,,,,,,,,817.9025,1.632152969
1.799683592,1165.688,0.587610867,7.06106675,0.083218427,,,,,,,,1165.688,1.799683592
1.971639801,1400.819,0.678865583,7.244812345,0.093703681,,,,,,,,1400.819,1.971639801
2.110700353,2296.978,0.747019813,7.739349625,0.096522298,,,,,,,,2296.978,2.110700353
2.231581354,2965.652,0.802710462,7.994852186,0.100403415,,,,,,,,2965.652,2.231581354
2.3640794,3077.06,0.860388686,8.031729875,0.107123708,,,,,,,,3077.06,2.3640794
2.457704183,3213.635,0.899227655,8.075157974,0.111357283,,,,,,,,3213.635,2.457704183
2.547226359,3642.3635,0.935005065,8.200388063,0.114019612,,,,,,,,3642.3635,2.547226359
2.648818091,3687.933,0.974113537,8.212821417,0.118608878,,,,,,,,3687.933,2.648818091
2.734177538,3738.763,1.005830673,8.226510087,0.122266996,,,,,,,,3738.763,2.734177538
2.810262552,3915.688,1.033277914,8.272746327,0.124901438,,,,,,,,3915.688,2.810262552
2.900056536,3961.8065,1.064730232,8.284455387,0.128521452,,,,,,,,3961.8065,2.900056536
2.982179063,4077.965,1.092654262,8.313353368,0.131433636,,,,,,,,4077.965,2.982179063
3.053660978,6459.844,1.116341191,8.773360448,0.127242144,,,,,,,,6459.844,3.053660978
3.118975368,6679.729,1.13750454,8.806832697,0.129161593,,,,,,,,6679.729,3.118975368
3.197353394,6721.35,1.162323403,8.813044306,0.131886708,,,,,,,,6721.35,3.197353394
3.264135424,7085.9435,1.182994926,8.865868312,0.133432495,,,,,,,,7085.9435,3.264135424
3.333729934,8022.109,1.204091777,8.989956634,0.13393744,,,,,,,,8022.109,3.333729934
3.408816402,8061.52,1.226365135,8.994857403,0.136340698,,,,,,,,8061.52,3.408816402
3.458341077,8422.5585,1.240789017,9.038668921,0.137275635,,,,,,,,8422.5585,3.458341077
3.516131338,9920.322,1.257361334,9.202340659,0.136634948,,,,,,,,9920.322,3.516131338
3.579897792,10298.755,1.27533425,9.239778293,0.138026499,,,,,,,,10298.755,3.579897792
3.638007118,10412.599,1.291436037,9.250771794,0.139603059,,,,,,,,10412.599,3.638007118
3.692630703,10610.9155,1.306339132,9.269638514,0.140926653,,,,,,,,10610.9155,3.692630703
3.760426004,10658.2055,1.32453225,9.274085344,0.142820796,,,,,,,,10658.2055,3.760426004
3.809176101,10761.5745,1.337412919,9.283737152,0.144059757,,,,,,,,10761.5745,3.809176101
3.857193404,11307.39152,1.349939822,9.333211908,0.144638291,,,,,,,,11307.39152,3.857193404
3.915756961,11487.61052,1.36500866,9.349024388,0.146005466,,,,,,,,11487.61052,3.915756961
3.958949786,11690.00702,1.375978785,9.366489655,0.146904426,,,,,,,,11690.00702,3.958949786
4.007860262,12084.05052,1.388257498,9.399641723,0.147692597,,,,,,,,12084.05052,4.007860262
4.063881533,13158.78202,1.40213856,9.484844649,0.147829365,,,,,,,,13158.78202,4.063881533
4.104831968,13213.53352,1.412164809,9.48899685,0.148821296,,,,,,,,13213.53352,4.104831968
4.146966936,13326.90452,1.422377208,9.497540167,0.149762695,,,,,,,,13326.90452,4.146966936
4.196248999,13438.59302,1.434191031,9.505885923,0.150874,,,,,,,,13438.59302,4.196248999
4.249310725,30803.09302,1.446756787,10.33537039,0.139981126,,,,,,,,30803.09302,4.249310725
4.290585779,31864.13052,1.456423269,10.36923622,0.140456176,,,,,,,,31864.13052,4.290585779
4.345367879,31923.21802,1.469110422,10.37108886,0.141654405,,,,,,,,31923.21802,4.345367879
4.39051609,32077.64602,1.479446781,10.37591468,0.142584709,,,,,,,,32077.64602,4.39051609
4.432380855,32174.90052,1.488936879,10.37894194,0.143457482,,,,,,,,32174.90052,4.432380855
4.478480491,32956.29252,1.499283813,10.40293749,0.144121198,,,,,,,,32956.29252,4.478480491
